node_id,officer_count,name,country_codes
23000161,789,OCEANIC BANK & TRUST LIMITED,BHS
23000294,789,RAS CORPORATE SERVICES LTD.,BHS
23000376,784,DOMINION MANAGEMENT SERVICES LIMITED,BHS
130000006,780,Carribean Corporate Services Ltd.,BRB
230000008,780,Hamilton Trust Company (Nevis) Ltd.,KNA
11011490,777,HSBC PRIVATE BANK (MONACO) S.A.,MCO
23000533,771,CITCO BANK & TRUST COMPANY (BAHAMAS) LTD,BHS
23000343,770,ROYAL BANK OF CANADA TRUST COMPANY (BAH),BHS
11011597,768,MINERVA TRUST & CORPORATE SERVICES LIMITED,JEY;GBR
23000047,744,GRAHAM COOPER,BHS
123290,739,Company Incorporations Asia Limited,XXX
11011916,736,MOSSACK FONSECA & CO. (THAILAND) LTD.,THA
11014109,732,STEVAL MANAGEMENT SA,CHE
11000437,729,HSBC PRIVATE BANK (SUISSE) S.A.,CHE
230000081,728,EMS (Nevis) Ltd(No longer in Operation),KNA
11013977,721,HOSLYND S.A.,URY
23000088,705,SIDNEY S. COLLIE AND CO,BHS
11007669,703,NAUTILUS TRUST COMPANY LIMITED,JEY;GBR
11011243,700,RICHMOND FIDUCIARY GROUP LIMITED,GGY;GBR
11000284,691,MFT SERVICES SA,CHE
11003865,689,BOS TRUST COMPANY (JERSEY) LIMITED,JEY;GBR
290197,688,NetIncorp.com Corporation,VGB
23000180,681,A.J.K. Corporate Services (Bahamas) Ltd.,BHS
11011427,680,UNITRUST CORPORATE SERVICES LTD.,RUS;CAN
23000218,678,BUTLER & TAYLOR (B & T CORP. MANAGERS),BHS
130000005,674,PriceWaterhouseCoopers,BRB
23000134,671,Société Générale Private Banking (Bahama,BHS
23000220,665,DESMOND EDWARDS & CO.,BHS
298073,659,Hill Consulting Ltd.,RUS
11010028,659,RAPID MANAGEMENT SERVICES COMPANY,HKG
23000378,659,PETER EVANS & CO.,BHS
11011526,658,CHARTERHOUSE LOMBARD LIMITED ISLE OF MAN,IMN
11002044,657,CORPORATE MANAGEMENT SERVICES LIMITED,HKG
23000413,651,OFFSHORE INCORPORATIONS (BAHAMAS) LTD.,BHS
296719,650,UBS AG (HK),HKG
130000001,650,CITCO Corporate Management(Barbados) Ltd,BRB
